grade,gender,transgender,sexual_orientation,religion,ethnicity,physical_disability,learning_disability,parent_guardian,guardian_degree,language_at_home_number,book_in_home_number,book_read_number,computer_at_home_number,district,gpa,dei_01,dei_02,dei_03,dei_04,dei_fair_to_boys,"G_School Climate for Diversity, Equity, and Inclusion			",dei_05,dei_06,dei_07,dei_10,"G_School Climate Overall			",dei_11,dei_12,dei_13,dei_16,dei_17,dei_18,dei_21,dei_75,"G_Classroom Teaching Supporting Diversity, Equity, and Inclusion						",dei_24,dei_25,dei_26,"G_Co-curricular Activities Supporting Diversity, Equity, and Inclusion		",dei_27,dei_28,dei_29,"G_School Commitment to Diversity, Equity, and Inclusion",dei_30,dei_31,dei_32,dei_35,dei_36,dei_37,"G_Everyday Discrimination by Students					",dei_48,dei_49,dei_50,dei_53,dei_54,dei_55,"G_Everyday Discrimination by Teachers					",dei_72,dei_73,dei_74,dei_76,"G_Outcomes					",dei_80,dei_81,dei_82,dei_83,dei_84,"G_Meaningful Interactions Across Difference				"
6,Male,,,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,5,5,5,5,5,5,5,5.00 ,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,4,4,4,5,,4.25
6,Female,,,Christian,Black or African American,No,Yes,Single Parent,Attended some college or earned a 2-year degree,1,25-99,,"Yes, two",6,,5,,5,5,,5,5,4,5,5,4.75 ,,3,3,3,3,3,3,3,3.00 ,0,,,0,4,4,2,3.333333333,5,5,4,4,1,1,3.333333333,3,3,5,5,1,1,3,3,5,3,5.00 ,4.00 ,1,3,1,1,,1.5
6,Female,,,None,White,No,No,Parents,I don't know,1,0-10,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,2,1,1,1,4,1,1,1.57 ,0,0,0,0,5,4,5,4.666666667,2,1,1,1,1,1,1.166666667,2,1,1,1,1,1,1.166666667,5,4,5,5.00 ,4.75 ,4,4,4,4,,4
6,Male,,,None,White,No,No,Stepparent,Finished a professional or graduate degree after college,1,11-24,,"Yes, three or more",6,,5,,5,5,,5,4,3,5,5,4.25 ,,2,2,3,1,5,5,3,3.00 ,1,1,4,2,3,3,3,3,2,5,4,5,3,4,3.833333333,5,1,1,1,1,1,1.666666667,2,2,4,4.00 ,3.00 ,3,3,3,3,,3
6,,,,Christian,White,,No,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,5,4,5,2,5,5,5,4.43 ,4,4,0,2.666666667,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,5,5,5,5,,5
6,Male,,,Christian,Asian,No,No,Parents,Finished high school,2,25-99,,"Yes, three or more",6,,5,,5,5,,5,4,5,5,5,4.75 ,,1,2,2,2,2,2,2,1.86 ,0,0,0,0,5,5,5,5,2,2,2,1,1,1,1.5,2,2,2,1,1,1,1.5,5,5,5,4.00 ,4.75 ,2,2,3,5,,3
6,Female,,,Agnostic,White,No,Yes,Parents,Finished a 4-year college degree,1,25-99,,"Yes, three or more",6,,5,,5,5,,5,3,4,5,5,4.25 ,,1,2,5,2,,1,1,2.00 ,,,,,3,3,3,3,1,3,4,5,5,4,3.666666667,1,1,1,1,1,1,1,4,3,5,5.00 ,4.25 ,3,4,4,5,,4
6,Male,,,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,5,2,5,5,5,5,5,4.57 ,0,0,0,0,4,4,4,4,1,1,1,2,1,1,1.166666667,1,1,1,4,1,1,1.5,5,5,5,5.00 ,5.00 ,2,2,2,3,,2.25
6,,,,None,White,No,No,Parents,I don't know,1,100-250,,"Yes, three or more",6,,5,,5,5,,5,4,5,5,5,4.75 ,,1,4,4,4,5,1,4,3.29 ,0,0,0,0,5,5,5,5,3,2,1,2,1,2,1.833333333,3,1,1,1,1,1,1.333333333,5,5,5,3.00 ,4.50 ,5,5,4,5,,4.75
6,Female,,,Christian,White,No,No,Parents,I don't know,1,100-250,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,4,2,5,5,1,3,2,3.14 ,0,0,0,0,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,4,4,4,4,,4
6,Female,,,Christian,White,No,No,Parents,Attended some college or earned a 2-year degree,1,11-24,,"Yes, three or more",6,,5,,5,5,,5,4,4,5,5,4.50 ,,5,4,5,4,4,5,5,4.57 ,4,0,3,2.333333333,4,4,4,4,1,1,1,1,1,3,1.333333333,1,1,1,1,1,1,1,5,4,4,5.00 ,4.50 ,,,,,,
6,Male,,,Christian,White,No,No,Parents,I don't know,1,100-250,,"Yes, three or more",6,,5,,5,5,,5,5,4,5,4,4.50 ,,1,2,1,1,2,1,1,1.29 ,,3,1,2,4,4,5,4.333333333,1,1,1,1,1,1,1,1,1,2,1,1,1,1.166666667,5,5,3,4.00 ,4.25 ,1,1,1,1,,1
6,Male,,,None,White,No,No,Parents,Attended some college or earned a 2-year degree,1,More than 250,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,2,2,2,2,2,2,2,2.00 ,3,3,3,3,5,5,5,5,2,2,1,2,1,1,1.5,1,2,2,2,1,1,1.5,5,4,4,3.50 ,4.13 ,3,3,3,3,,3
6,Male,,,None,"Some Other Race, Ethnicity, or Origin",No,No,Single Parent,I don't know,1,11-24,,"Yes, two",6,,5,,5,5,,5,5,5,5,5,5.00 ,,2,2,1,1,1,1,1,1.29 ,0,0,0,0,5,4,5,4.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,2.50 ,4.38 ,3,3,3,3,,3
6,Female,,,Christian,White,No,No,Parents,I don't know,1,More than 250,,"Yes, two",6,,5,,4,4,,4.333333333,4,4,4,4,4.00 ,,1,2,1,1,1,2,1,1.29 ,0,0,3,1,3,3,3,3,1,2,2,2,1,1,1.5,1,2,2,2,1,1,1.5,4,4,4,4.00 ,4.00 ,1,1,1,1,,1
6,Male,,,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,4,4,5,4,3,4,4,4.00 ,0,0,0,0,5,4,4,4.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,3.50 ,4.38 ,4,5,5,5,,4.75
6,Female,,,Christian,Asian,No,No,Parents,Finished a 4-year college degree,2,25-99,,"Yes, three or more",6,,5,,5,4,,4.666666667,4,3,5,4,4.00 ,,2,2,2,1,4,2,1,2.00 ,,,3,3,4,3,4,3.666666667,2,3,2,2,1,1,1.833333333,2,2,2,1,1,1,1.5,4,5,4,4.00 ,4.25 ,2,1,1,1,,1.25
6,Male,,,None,White,No,No,Parents,Finished a 4-year college degree,1,100-250,,"Yes, three or more",6,,5,,4,5,,4.666666667,4,5,5,5,4.75 ,,4,5,4,2,2,4,3,3.43 ,1,0,1,0.666666667,5,5,4,4.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4.50 ,4.88 ,3,1,1,1,,1.5
6,Female,,,Christian,White,No,No,Single Parent,I don't know,1,0-10,,"Yes, one",6,,5,,5,5,,5,5,5,5,5,5.00 ,,1,2,2,3,2,4,3,2.43 ,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,3,3,4,4,,3.5
6,Male,,,None,White,No,No,Single Parent,I don't know,2,25-99,,"Yes, one",6,,5,,5,5,,5,5,5,5,5,5.00 ,,5,5,5,5,5,5,5,5.00 ,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,3,5,5,1,,3.5
6,Female,,,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",6,,5,,4,4,,4.333333333,4,4,4,5,4.25 ,,2,2,2,1,2,2,,1.83 ,0,0,3,1,5,4,5,4.666666667,2,2,1,1,2,1,1.5,1,1,1,1,1,1,1,5,5,4,3.50 ,4.38 ,5,5,4,5,,4.75
6,Female,,,Christian,White,No,No,Parents,Finished high school,1,11-24,,"Yes, three or more",6,,5,,1,4,,3.333333333,4,5,4,5,4.50 ,,4,2,2,4,2,3,2,2.71 ,1,0,5,2,4,4,3,3.666666667,3,3,4,4,4,5,3.833333333,1,3,1,1,1,1,1.333333333,5,5,4,3.50 ,4.38 ,3,3,3,3,,3
6,Male,,,Jewish,"Hispanic, Latino, or Spanish",No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",6,,5,,5,4,,4.666666667,5,5,5,5,5.00 ,,2,4,1,1,1,1,4,2.00 ,3,0,0,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,1,1,1,1,,1
6,Male,,,None,White,No,No,Parents,Finished a professional or graduate degree after college,1,11-24,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,3,2,5,2,4,1,2,2.71 ,1,0,5,2,5,5,5,5,5,5,5,1,1,1,3,5,5,5,1,1,1,3,4,5,4,4.00 ,4.25 ,1,2,1,1,,1.25
6,Female,,,Christian,Black or African American,No,No,Parents,Attended some college or earned a 2-year degree,2,11-24,,"Yes, three or more",6,,5,,5,4,,4.666666667,4,4,4,4,4.00 ,,3,2,3,1,1,1,3,2.00 ,4,3,1,2.666666667,4,5,4,4.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3.50 ,3.63 ,1,1,1,1,,1
6,Male,,,None,White,No,No,Parents,I don't know,1,100-250,,"Yes, two",6,,5,,5,5,,5,4,5,5,5,4.75 ,,2,2,3,2,2,4,2,2.43 ,0,0,4,1.333333333,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4.00 ,4.75 ,2,1,1,2,,1.5
5,Female,,,Christian,White,No,Yes,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",6,,5,,5,5,,5,4,4,5,5,4.50 ,,1,3,2,1,1,2,3,1.86 ,0,0,0,0,5,5,4,4.666666667,1,1,1,1,1,1,1,2,2,1,2,1,1,1.5,4,5,5,4.50 ,4.63 ,3,3,4,4,,3.5
6,Male,,,Christian,White,No,No,Parents,I don't know,1,100-250,,"Yes, three or more",6,,5,,5,5,,5,4,4,5,4,4.25 ,,4,5,4,3,2,2,5,3.57 ,1,3,4,2.666666667,3,4,3,3.333333333,1,1,1,2,1,1,1.166666667,1,1,1,1,1,1,1,5,5,5,4.00 ,4.75 ,4,3,4,4,,3.75
6,Female,,,,White,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",6,,4,,4,4,,4,4,4,4,4,4.00 ,,1,1,1,1,1,1,1,1.00 ,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3.00 ,3.75 ,1,1,1,1,,1
6,Male,,,None,White,No,No,Parents,I don't know,2,100-250,,"Yes, three or more",6,,4,,4,4,,4,4,4,4,5,4.25 ,,2,2,2,2,2,2,2,2.00 ,0,0,3,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,4,3.00 ,3.75 ,1,1,1,1,,1
6,Female,,,None,White,No,No,Parents,Finished high school,1,More than 250,,"Yes, one",6,,5,,5,5,,5,3,4,4,3,3.50 ,,2,5,2,4,3,2,5,3.29 ,5,5,3,4.333333333,4,4,3,3.666666667,3,3,1,1,1,1,1.666666667,3,3,1,1,1,1,1.666666667,3,4,3,3.00 ,3.25 ,5,5,5,5,,5
6,Female,,,None,Black or African American,No,No,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",6,,2,,3,5,,3.333333333,3,4,5,4,4.00 ,,1,3,2,1,1,1,2,1.57 ,0,0,1,0.333333333,3,4,3,3.333333333,3,2,1,1,1,1,1.5,3,3,2,1,1,1,1.833333333,4,4,4,3.00 ,3.75 ,1,1,1,1,,1
6,Male,,,Hindu,American Indian or Alaskan Native,No,No,Parents,I don't know,2,25-99,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,4,5,5,4,4,4,5,4.43 ,3,3,3,3,5,5,5,5,1,1,,1,1,1,1,1,1,,1,1,1,1,5,5,5,4.50 ,4.88 ,5,5,5,5,,5
6,Male,,,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",6,,5,,5,4,,4.666666667,5,,5,5,5.00 ,,2,4,5,2,1,1,4,2.71 ,1,1,1,1,4,4,4,4,1,1,1,2,1,1,1.166666667,1,1,1,3,1,1,1.333333333,1,5,5,0.50 ,2.88 ,3,4,5,5,,4.25
6,Female,,,Christian,White,No,,Parents,Finished a 4-year college degree,1,100-250,,"Yes, three or more",6,,5,,4,3,,4,3,3,4,4,3.50 ,,2,1,2,2,3,4,4,2.57 ,3,0,3,2,5,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3.00 ,3.75 ,4,4,4,4,,4
6,Female,,,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,5,5,5,4,5,5,5,4.86 ,0,0,4,1.333333333,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5.00 ,5.00 ,,,,,,
6,Male,,,Christian,Black or African American,No,No,Parents,Finished a 4-year college degree,2,25-99,,,6,,5,,5,5,,5,5,4,5,5,4.75 ,,4,4,2,2,1,4,1,2.57 ,,0,0,0,5,5,4,4.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4.50 ,4.88 ,4,3,3,4,,3.5
6,Female,,,Christian,White,No,No,Parents,Finished a 4-year college degree,1,25-99,,"Yes, one",6,,5,,5,5,,5,,5,5,5,5.00 ,,1,5,3,4,3,5,5,3.71 ,4,1,1,2,5,4,4,4.333333333,2,3,2,2,1,1,1.833333333,1,1,1,1,1,1,1,5,5,5,3.00 ,4.50 ,4,4,2,4,,3.5
6,Male,,,Christian,Black or African American,No,No,Other Adult,I don't know,1,11-24,,"Yes, three or more",6,,5,,5,5,,5,5,5,4,5,4.75 ,,1,3,3,2,2,5,4,2.86 ,5,0,4,3,3,5,4,4,5,1,2,1,1,1,1.833333333,3,2,1,1,1,1,1.5,3,5,3,4.00 ,3.75 ,3,1,3,1,,2
6,Female,,,Christian,Black or African American,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",6,,5,,5,5,,5,5,5,5,5,5.00 ,,,,,,,,,,3,3,5,3.666666667,3,3,4,3.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5.00 ,4.75 ,1,3,1,1,,1.5
6,Female,,,None,White,No,No,Parents,Finished a 4-year college degree,1,100-250,,"Yes, two",6,,5,,5,5,,5,4,5,5,4,4.50 ,,2,2,4,2,4,3,4,3.00 ,1,0,4,1.666666667,4,4,5,4.333333333,2,2,2,1,1,2,1.666666667,1,1,1,1,1,1,1,4,5,5,4.00 ,4.50 ,4,4,4,5,,4.25
6,Female,,,None,White,No,No,Parents,I don't know,1,11-24,,"Yes, three or more",6,,5,,4,5,,4.666666667,5,4,5,5,4.75 ,,3,4,3,4,5,,2,3.50 ,4,1,3,2.666666667,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4.50 ,4.38 ,3,3,4,4,,3.5
6,Male,,,Christian,Black or African American,No,No,Parents,Finished a 4-year college degree,1,More than 250,,"Yes, three or more",6,,5,,5,4,,4.666666667,5,5,5,5,5.00 ,,5,5,5,5,5,5,5,5.00 ,3,0,4,2.333333333,5,5,5,5,4,1,1,1,1,1,1.5,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,5,3,2,3,,3.25
6,Female,,,Atheist,"Hispanic, Latino, or Spanish",No,No,Parents,Did not finish high school,2,100-250,,"Yes, two",6,,4,,5,4,,4.333333333,5,4,5,5,4.75 ,,4,4,2,1,3,2,2,2.57 ,1,0,3,1.333333333,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4.00 ,4.75 ,2,2,2,2,,2
6,Female,,,Christian,White,No,No,Parents,Finished a 4-year college degree,1,100-250,,"Yes, two",6,,5,,5,5,,5,4,4,5,4,4.25 ,,2,2,2,2,2,1,2,1.86 ,3,0,3,2,4,5,4,4.333333333,2,2,1,1,1,1,1.333333333,1,1,1,1,1,1,1,5,4,5,4.50 ,4.63 ,3,1,2,3,,2.25
9,Male,No,Heterosexual,Christian,Asian,No,No,Parents,Finished a professional or graduate degree after college,2,100-250,,"Yes, three or more",7,1,4,5,5,4,,4.5,4,4,4,4,4.00 ,,3,2,2,2,2,2,2,2.14 ,3,1,1,1.666666667,4,3,3,3.333333333,2,2,3,4,2,1,2.333333333,2,2,1,1,1,1,1.333333333,3,4,4,4.00 ,3.75 ,2,2,2,2,2,2
9,Female,No,Heterosexual,None,Asian,No,No,Parents,Finished a professional or graduate degree after college,2,More than 250,,"Yes, two",7,1,4,5,4,5,,4.5,4,5,5,4,4.50 ,,2,2,3,2,4,4,3,2.86 ,1,0,1,0.666666667,4,4,4,4,2,2,1,2,1,1,1.5,1,1,1,1,1,1,1,4,4,4,4.50 ,4.13 ,3,2,3,2,2,2.4
11,Female,No,Heterosexual,Christian,White,No,I don't know,Parents,Finished a 4-year college degree,1,More than 250,,"Yes, three or more",7,2,5,5,5,5,,5,3,4,5,4,4.00 ,,3,3,4,2,4,3,3,3.14 ,0,0,0,0,4,4,4,4,2,2,3,2,1,2,2,2,2,2,2,1,1,1.666666667,3,4,3,1.50 ,2.88 ,4,4,4,4,4,4
9,Male,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",7,1,5,5,5,4,,4.75,5,5,5,5,5.00 ,,3,2,4,2,5,4,4,3.43 ,3,1,1,1.666666667,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,4,5,5,5,3,4.4
8,Female,No,Heterosexual,Christian,White,No,No,Parents,Finished a 4-year college degree,1,0-10,,"Yes, one",7,I donât know,4,3,5,4,,4,5,5,5,5,5.00 ,,2,3,4,3,3,3,3,3.00 ,0,4,4,2.666666667,,4,4,4,2,2,2,3,1,2,2,2,2,2,3,1,2,2,5,5,4,4.50 ,4.63 ,4,3,3,3,3,3.2
12,Female,No,Heterosexual,Christian,Asian,No,Yes,Parents,Finished a professional or graduate degree after college,2,11-24,,"Yes, two",7,2,2,1,1,2,,1.5,4,4,3,4,3.75 ,,2,2,4,,3,3,3,2.83 ,1,3,0,1.333333333,3,5,3,3.666666667,2,2,4,4,4,4,3.333333333,2,2,4,2,2,1,2.166666667,3,3,3,3.00 ,3.00 ,4,4,4,3,4,3.8
9,Female,No,Gay/Lesbian/Queer,Atheist,White,No,I don't know,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",7,2,5,5,4,5,,4.75,5,5,4,5,4.75 ,,2,2,3,5,5,3,5,3.57 ,4,5,1,3.333333333,5,5,5,5,1,3,1,1,1,1,1.333333333,1,1,2,1,1,1,1.166666667,4,5,5,4.50 ,4.63 ,5,5,5,5,5,5
9,Female,No,Heterosexual,I don't know,Black or African American,No,No,Single Parent,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",7,I donât know,5,5,5,5,,5,5,5,5,5,5.00 ,,2,4,4,2,4,1,,2.83 ,,,,,4,5,4,4.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,2.50 ,4.38 ,,,,,,
10,,,,Christian,,,,,,,,,"Yes, three or more",7,,5,3,4,5,,4.25,5,5,5,5,5.00 ,,2,2,4,2,3,3,3,2.71 ,3,4,5,4,5,5,4,4.666666667,1,1,2,1,1,1,1.166666667,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,5,4,3,5,5,4.4
12,Female,No,Heterosexual,Jewish,White,No,Yes,Single Parent,Finished a 4-year college degree,1,100-250,,"Yes, three or more",7,2,3,4,3,4,,3.5,5,4,5,4,4.50 ,,4,2,2,1,3,2,4,2.57 ,0,4,1,1.666666667,4,4,3,3.666666667,1,2,1,2,1,1,1.333333333,1,2,2,1,1,1,1.333333333,5,5,5,4.50 ,4.88 ,4,5,5,4,5,4.6
10,I don't know,I don't know,Bisexual,Agnostic,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",7,1,3,2,2,4,,2.75,3,4,3,4,3.50 ,,2,2,2,3,3,2,3,2.43 ,1,0,3,1.333333333,4,2,3,3,3,2,1,2,2,2,2,3,2,2,4,3,2,2.666666667,2,4,2,2.50 ,2.63 ,5,5,5,4,5,4.8
9,Female,No,Heterosexual,Christian,Asian,No,No,Parents,Finished a 4-year college degree,2,25-99,,"Yes, three or more",7,1,4,3,3,3,,3.25,3,4,4,4,3.75 ,,2,2,1,2,2,2,2,1.86 ,4,0,1,1.666666667,3,3,3,3,2,2,1,3,1,1,1.666666667,2,1,1,1,1,1,1.166666667,4,4,4,3.50 ,3.88 ,2,3,4,3,3,3
,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Other Adult,Finished a professional or graduate degree after college,2,100-250,,"Yes, three or more",7,,5,5,4,5,,4.75,5,5,5,4,4.75 ,,4,4,4,4,4,5,5,4.29 ,4,3,3,3.333333333,4,5,4,4.333333333,1,,,1,1,1,1,1,1,,1,1,1,1,4,5,5,5.00 ,4.75 ,4,3,2,4,1,2.8
12,Female,No,I don't know,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",7,1,,5,2,5,,4,3,4,5,4,4.00 ,,2,1,3,1,2,2,2,1.86 ,4,5,3,4,3,3,2,2.666666667,1,1,2,2,1,1,1.333333333,1,1,1,1,1,1,1,3,5,2,2.50 ,3.13 ,2,4,4,2,5,3.4
11,Male,No,Heterosexual,Atheist,White,I don't know,I don't know,Parents,Finished a 4-year college degree,1,More than 250,,"Yes, three or more",7,I donât know,4,3,3,4,,3.5,3,3,4,4,3.50 ,,3,3,3,3,3,3,3,3.00 ,0,0,0,0,2,2,2,2,4,2,3,3,4,4,3.333333333,4,2,4,3,4,3,3.333333333,4,4,4,1.50 ,3.38 ,4,4,4,3,4,3.8
12,Male,No,Heterosexual,Agnostic,"Hispanic, Latino, or Spanish",No,No,Single Parent,Finished a professional or graduate degree after college,1,11-24,,"Yes, one",7,3,4,4,4,5,,4.25,5,5,3,3,4.00 ,,3,3,4,3,3,3,3,3.14 ,3,3,3,3,4,4,4,4,3,2,2,4,1,1,2.166666667,3,2,2,4,1,1,2.166666667,4,4,4,3.50 ,3.88 ,4,4,4,4,4,4
11,Female,No,I don't know,Agnostic,Asian,No,No,Parents,Finished a 4-year college degree,2,More than 250,,"Yes, three or more",7,2,4,3,2,4,,3.25,5,4,5,4,4.50 ,,4,3,4,4,5,4,2,3.71 ,3,1,3,2.333333333,3,4,4,3.666666667,1,1,3,3,1,1,1.666666667,2,1,1,4,1,1,1.666666667,3,4,4,4.00 ,3.75 ,4,4,4,5,5,4.4
11,Male,No,Heterosexual,Atheist,White,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",7,1,4,4,5,4,,4.25,4,5,5,5,4.75 ,,2,2,3,2,2,2,2,2.14 ,4,3,0,2.333333333,4,3,4,3.666666667,2,1,1,1,1,1,1.166666667,3,1,1,1,1,2,1.5,4,5,3,4.00 ,4.00 ,4,3,5,3,4,3.8
9,Female,No,I don't know,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",7,1,4,4,1,4,,3.25,4,5,5,3,4.25 ,,4,2,4,3,4,2,1,2.86 ,3,0,4,2.333333333,4,4,4,4,2,2,1,2,1,3,1.833333333,2,2,2,1,1,1,1.5,3,4,3,3.50 ,3.38 ,4,4,4,4,5,4.2
10,Male,Yes,Heterosexual,Christian,White,No,No,Parents,Finished a 4-year college degree,1,11-24,,"Yes, three or more",7,4,3,3,2,2,,2.5,3,3,4,3,3.25 ,,2,1,2,1,2,2,2,1.71 ,0,0,1,0.333333333,3,2,3,2.666666667,3,3,4,4,3,3,3.333333333,2,2,4,3,2,2,2.5,3,3,3,2.50 ,2.88 ,5,5,5,5,3,4.6
10,Female,No,Heterosexual,Christian,Asian,No,No,Parents,Finished a 4-year college degree,2,100-250,,"Yes, three or more",7,1,4,5,5,4,,4.5,5,5,4,5,4.75 ,,1,2,2,3,3,3,2,2.29 ,1,0,3,1.333333333,4,5,3,4,,,,,,,,1,1,1,1,1,1,1,3,4,2,2.00 ,2.75 ,3,3,1,1,4,2.4
10,Female,No,Heterosexual,I don't know,White,No,I don't know,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, one",7,2,5,5,3,5,,4.5,4,5,5,5,4.75 ,,2,2,2,4,4,3,2,2.71 ,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4,4,5,4,1,1,3.166666667,5,5,5,5.00 ,5.00 ,5,5,5,5,5,5
11,Female,No,I don't know,Atheist,White,No,Yes,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",7,1,3,1,1,4,,2.25,2,1,4,2,2.25 ,,2,3,1,2,1,2,2,1.86 ,1,0,4,1.666666667,2,4,1,2.333333333,4,5,1,4,4,5,3.833333333,1,3,3,4,1,1,2.166666667,3,2,1,3.00 ,2.25 ,5,3,3,4,5,4
10,Female,,I don't know,Atheist,"Middle Eastern, North African, or Arab",No,No,Parents,Finished a professional or graduate degree after college,2,More than 250,,"Yes, three or more",7,1,4,3,2,5,,3.5,5,5,5,4,4.75 ,,2,2,2,1,1,2,2,1.71 ,0,3,5,2.666666667,4,4,4,4,1,1,3,3,1,1,1.666666667,1,1,1,1,1,1,1,4,5,4,4.50 ,4.38 ,4,5,3,3,2,3.4
12,Female,No,Bisexual,Atheist,White,No,I don't know,Single Parent,Finished a 4-year college degree,1,More than 250,,"Yes, three or more",7,2,2,1,1,4,,2,4,3,5,4,4.00 ,,2,1,3,2,4,3,2,2.43 ,4,5,0,3,3,2,2,2.333333333,1,3,4,4,1,1,2.333333333,1,1,3,2,1,1,1.5,4,4,2,3.00 ,3.25 ,2,4,4,2,5,3.4
9,Female,No,Heterosexual,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",7,1,5,4,5,4,,4.5,3,5,5,3,4.00 ,,4,4,4,5,5,5,5,4.57 ,1,1,0,0.666666667,4,5,4,4.333333333,2,1,1,1,1,1,1.166666667,1,1,1,3,1,1,1.333333333,4,5,4,4.00 ,4.25 ,5,5,5,5,5,5
12,Female,No,Bisexual,Agnostic,Asian,No,No,Parents,Finished a professional or graduate degree after college,2,More than 250,,"Yes, three or more",7,1,4,3,2,5,,3.5,4,4,4,3,3.75 ,,2,2,3,2,4,4,2,2.71 ,4,4,3,3.666666667,4,4,1,3,2,2,1,1,1,2,1.5,1,1,1,1,1,1,1,4,4,3,3.00 ,3.50 ,5,4,4,5,4,4.4
10,Female,No,,I don't know,"Hispanic, Latino, or Spanish",No,I don't know,Parents,Did not finish high school,2,11-24,,"Yes, two",7,2,5,5,4,5,,4.75,5,4,5,5,4.75 ,,4,5,4,2,5,2,4,3.71 ,4,4,1,3,5,5,4,4.666666667,1,1,1,2,1,1,1.166666667,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,4,4,4,5,5,4.4
